Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,3203
1,1,0,2047,3638
2,2,0,2046,3947
3,3,0,2046,4095
4,4,0,2046,4095
5,5,0,2047,3932
6,6,0,2046,3613
7,7,0,2047,3172
8,8,0,2046,2640
9,9,0,2046,2060
10,10,0,2047,1481
11,11,0,2046,944
12,12,0,2047,494
13,13,0,2047,165
14,14,0,2046,0
15,15,0,2046,0
16,16,0,2046,112
17,17,0,2047,410
18,18,0,2046,837
19,19,0,2046,1357
20,20,0,2047,1933
21,21,0,2046,2516
22,22,0,2046,3062
23,23,0,2047,3527
24,24,0,2047,3875
25,25,0,2046,4077
26,26,0,2046,4095
27,27,0,2046,3994
28,28,0,2047,3717
29,29,0,2047,3307
30,30,0,2047,2796
31,31,0,2047,2226
32,32,0,2046,1642
33,33,0,2046,1087
34,34,0,2047,609
35,35,0,2047,244
36,36,0,2046,20
37,37,0,2047,0
38,38,0,2046,55
39,39,0,2047,311
40,40,0,2047,704
41,41,0,2047,1203
42,42,0,2047,1768
43,43,0,2047,2353
44,44,0,2047,2915
45,45,0,2048,3406
46,46,0,2046,3790
47,47,0,2047,4036
48,48,0,2046,4095
49,49,0,2047,4046
50,50,0,2047,3810
51,51,0,2046,3434
52,52,0,2046,2948
53,53,0,2046,2391
54,54,0,2046,1805
55,55,0,2047,1238
56,56,0,2046,734
57,57,0,2047,333
58,58,0,2047,67
59,59,0,2047,0
60,60,0,2047,10
61,61,0,2046,225
62,62,0,2047,583
63,63,0,2046,1054
64,64,0,2046,1604
65,65,0,2047,2189
66,66,0,2047,2762
67,67,0,2047,3277
68,68,0,2047,3695
69,69,0,2047,3982
70,70,0,2046,4095
71,71,0,2046,4085
72,72,0,2046,3892
73,73,0,2047,3552
74,74,0,2046,3094
75,75,0,2046,2552
76,76,0,2046,1970
77,77,0,2047,1393
78,78,0,2046,867
79,79,0,2047,433
80,80,0,2046,127
81,81,0,2047,0
82,82,0,2047,0
83,83,0,2046,148
84,84,0,2047,468
85,85,0,2047,912
86,86,0,2047,1444
87,87,0,2047,2023
88,88,0,2046,2604
89,89,0,2047,3140
90,90,0,2047,3590
91,91,0,2047,3915
92,92,0,2046,4093
93,93,0,2046,4095
94,94,0,2047,3962
95,95,0,2046,3662
96,96,0,2047,3233
97,97,0,2046,2712
98,98,0,2047,2136
99,99,0,2047,1552
100,100,0,2047,1008
101,101,0,2046,544
102,102,0,2046,199
103,103,0,2047,0
104,104,0,2047,0
105,105,0,2046,84
106,106,0,2046,364
107,107,0,2047,776
108,108,0,2046,1287
109,109,0,2046,1857
110,110,0,2046,2443
111,111,0,2047,2996
112,112,0,2047,3474
113,113,0,2046,3838
114,114,0,2047,4059
115,115,0,2046,4095
116,116,0,2046,4020
117,117,0,2047,3760
118,118,0,2046,3365
119,119,0,2047,2865
120,120,0,2046,2300
121,121,0,2047,1715
122,122,0,2046,1154
123,123,0,2046,664
124,124,0,2046,283
125,125,0,2046,39
126,126,0,2046,0
127,127,0,2047,34
128,128,0,2047,271
129,129,0,2046,648
130,130,0,2046,1136
131,131,0,2047,1694
132,132,0,2046,2281
133,133,0,2046,2846
134,134,0,2046,3349
135,135,0,2047,3748
136,136,0,2046,4013
137,137,0,2046,4095
138,138,0,2047,4065
139,139,0,2047,3847
140,140,0,2047,3488
141,141,0,2047,3015
142,142,0,2047,2465
143,143,0,2046,1879
144,144,0,2047,1307
145,145,0,2046,793
146,146,0,2047,377
147,147,0,2047,92
148,148,0,2047,0
149,149,0,2047,0
150,150,0,2047,189
151,151,0,2047,529
152,152,0,2047,989
153,153,0,2046,1531
154,154,0,2047,2115
155,155,0,2047,2691
156,156,0,2047,3216
157,157,0,2046,3649
158,158,0,2047,3953
159,159,0,2046,4095
160,160,0,2046,4095
161,161,0,2046,3925
162,162,0,2046,3603
163,163,0,2046,3157
164,164,0,2046,2624
165,165,0,2047,2045
166,166,0,2046,1464
167,167,0,2047,930
168,168,0,2046,482
169,169,0,2046,158
170,170,0,2046,0
171,171,0,2047,0
172,172,0,2046,118
173,173,0,2046,420
174,174,0,2047,850
175,175,0,2046,1372
176,176,0,2047,1949
177,177,0,2046,2533
178,178,0,2047,3076
179,179,0,2046,3538
180,180,0,2047,3882
181,181,0,2046,4079
182,182,0,2046,4095
183,183,0,2047,3989
184,184,0,2046,3707
185,185,0,2047,3294
186,186,0,2046,2782
187,187,0,2046,2210
188,188,0,2047,1625
189,189,0,2047,1073
190,190,0,2047,597
191,191,0,2047,234
192,192,0,2046,15
193,193,0,2046,0
194,194,0,2047,60
195,195,0,2047,320
196,196,0,2047,717
197,197,0,2046,1219
198,198,0,2047,1785
199,199,0,2047,2369
200,200,0,2047,2929
201,201,0,2047,3418
202,202,0,2046,3798
203,203,0,2046,4040
204,204,0,2047,4095
205,205,0,2046,4041
206,206,0,2047,3801
207,207,0,2046,3421
208,208,0,2046,2932
209,209,0,2046,2374
210,210,0,2046,1788
211,211,0,2047,1223
212,212,0,2047,721
213,213,0,2046,323
214,214,0,2047,61
215,215,0,2046,0
216,216,0,2047,15
217,217,0,2046,232
218,218,0,2047,594
219,219,0,2046,1069
220,220,0,2047,1621
221,221,0,2046,2205
222,222,0,2047,2777
223,223,0,2047,3291
224,224,0,2047,3705
225,225,0,2047,3987
226,226,0,2046,4095
227,227,0,2046,4081
228,228,0,2046,3884
229,229,0,2046,3541
230,230,0,2047,3080
231,231,0,2047,2536
232,232,0,2046,1953
233,233,0,2047,1378
234,234,0,2047,853
235,235,0,2046,423
236,236,0,2046,121
237,237,0,2047,0
238,238,0,2046,0
239,239,0,2046,156
240,240,0,2046,480
241,241,0,2047,925
242,242,0,2047,1460
243,243,0,2046,2040
244,244,0,2047,2620
245,245,0,2046,3154
246,246,0,2046,3600
247,247,0,2046,3923
248,248,0,2046,4095
249,249,0,2047,4095
250,250,0,2046,3955
251,251,0,2047,3651
252,252,0,2046,3220
253,253,0,2047,2696
254,254,0,2046,2119
255,255,0,2046,1536
256,256,0,2046,994
257,257,0,2046,533
258,258,0,2047,191
259,259,0,2046,0
260,260,0,2046,0
261,261,0,2046,90
262,262,0,2046,374
263,263,0,2047,789
264,264,0,2047,1303
265,265,0,2046,1875
266,266,0,2046,2460
267,267,0,2046,3011
268,268,0,2047,3486
269,269,0,2046,3845
270,270,0,2046,4064
271,271,0,2046,4095
272,272,0,2046,4014
273,273,0,2046,3751
274,274,0,2047,3352
275,275,0,2046,2850
276,276,0,2046,2284
277,277,0,2046,1699
278,278,0,2047,1139
279,279,0,2046,652
280,280,0,2046,274
281,281,0,2047,34
282,282,0,2047,0
283,283,0,2046,38
284,284,0,2046,280
285,285,0,2047,661
286,286,0,2047,1151
287,287,0,2046,1710
288,288,0,2046,2296
