Sample in Buffer,Sample in Window,TRIGGER,adc2_data_b_d0[11:0],adc2_data_a_d0[11:0]
0,0,0,2996,2049
1,1,0,3488,2050
2,2,0,3861,2049
3,3,0,4085,2049
4,4,0,4095,2049
5,5,0,4025,2049
6,6,0,3747,2049
7,7,0,3330,2049
8,8,0,2806,2049
9,9,0,2221,2050
10,10,0,1621,2049
11,11,0,1055,2049
12,12,0,572,2050
13,13,0,209,2049
14,14,0,0,2049
15,15,0,0,2050
16,16,0,81,2049
17,17,0,370,2050
18,18,0,797,2049
19,19,0,1327,2049
20,20,0,1914,2049
21,21,0,2514,2049
22,22,0,3075,2049
23,23,0,3551,2049
24,24,0,3904,2049
25,25,0,4095,2049
26,26,0,4095,2049
27,27,0,3995,2049
28,28,0,3694,2049
29,29,0,3258,2049
30,30,0,2723,2049
31,31,0,2133,2048
32,32,0,1534,2049
33,33,0,978,2049
34,34,0,510,2050
35,35,0,168,2050
36,36,0,0,2049
37,37,0,0,2049
38,38,0,114,2050
39,39,0,425,2049
40,40,0,869,2050
41,41,0,1410,2049
42,42,0,2003,2049
43,43,0,2600,2049
44,44,0,3150,2049
45,45,0,3612,2049
46,46,0,3943,2049
47,47,0,4095,2049
48,48,0,4095,2049
49,49,0,3960,2049
50,50,0,3637,2049
51,51,0,3185,2049
52,52,0,2639,2049
53,53,0,2044,2049
54,54,0,1449,2049
55,55,0,904,2049
56,56,0,451,2049
57,57,0,130,2049
58,58,0,0,2049
59,59,0,0,2049
60,60,0,149,2049
61,61,0,483,2049
62,62,0,943,2050
63,63,0,1496,2049
64,64,0,2092,2049
65,65,0,2684,2050
66,66,0,3225,2049
67,67,0,3669,2049
68,68,0,3979,2049
69,69,0,4095,2049
70,70,0,4095,2049
71,71,0,3922,2049
72,72,0,3579,2049
73,73,0,3109,2049
74,74,0,2553,2049
75,75,0,1956,2049
76,76,0,1365,2049
77,77,0,830,2049
78,78,0,395,2048
79,79,0,95,2049
80,80,0,0,2050
81,81,0,0,2049
82,82,0,190,2049
83,83,0,543,2049
84,84,0,1020,2049
85,85,0,1581,2049
86,86,0,2180,2049
87,87,0,2769,2049
88,88,0,3297,2049
89,89,0,3723,2050
90,90,0,4012,2049
91,91,0,4095,2049
92,92,0,4093,2049
93,93,0,3880,2049
94,94,0,3517,2049
95,95,0,3032,2049
96,96,0,2467,2049
97,97,0,1868,2049
98,98,0,1282,2050
99,99,0,759,2048
100,100,0,342,2049
101,101,0,65,2049
102,102,0,0,2049
103,103,0,8,2050
104,104,0,233,2049
105,105,0,607,2049
106,106,0,1098,2049
107,107,0,1668,2049
108,108,0,2268,2049
109,109,0,2851,2049
110,110,0,3366,2049
111,111,0,3775,2050
112,112,0,4041,2049
113,113,0,4095,2049
114,114,0,4073,2049
115,115,0,3837,2050
116,116,0,3452,2049
117,117,0,2952,2049
118,118,0,2379,2050
119,119,0,1778,2049
120,120,0,1200,2050
121,121,0,690,2049
122,122,0,292,2049
123,123,0,38,2050
124,124,0,0,2049
125,125,0,30,2048
126,126,0,280,2049
127,127,0,672,2049
128,128,0,1179,2049
129,129,0,1755,2049
130,130,0,2356,2049
131,131,0,2932,2049
132,132,0,3434,2049
133,133,0,3823,2049
134,134,0,4067,2049
135,135,0,4095,2049
136,136,0,4048,2049
137,137,0,3789,2049
138,138,0,3385,2049
139,139,0,2872,2049
140,140,0,2292,2049
141,141,0,1691,2049
142,142,0,1120,2049
143,143,0,624,2049
144,144,0,245,2049
145,145,0,14,2049
146,146,0,0,2049
147,147,0,57,2049
148,148,0,328,2049
149,149,0,740,2049
150,150,0,1259,2049
151,151,0,1843,2049
152,152,0,2443,2049
153,153,0,3011,2049
154,154,0,3500,2049
155,155,0,3869,2049
156,156,0,4088,2049
157,157,0,4095,2050
158,158,0,4020,2049
159,159,0,3737,2049
160,160,0,3316,2049
161,161,0,2790,2049
162,162,0,2204,2049
163,163,0,1605,2049
164,164,0,1041,2049
165,165,0,560,2049
166,166,0,201,2049
167,167,0,0,2050
168,168,0,0,2049
169,169,0,87,2049
170,170,0,381,2050
171,171,0,811,2049
172,172,0,1342,2050
173,173,0,1932,2049
174,174,0,2531,2049
175,175,0,3089,2049
176,176,0,3563,2049
177,177,0,3911,2050
178,178,0,4095,2049
179,179,0,4095,2049
180,180,0,3988,2048
181,181,0,3684,2049
182,182,0,3245,2049
183,183,0,2707,2049
184,184,0,2116,2049
185,185,0,1519,2049
186,186,0,964,2049
187,187,0,499,2049
188,188,0,161,2049
189,189,0,0,2049
190,190,0,0,2049
191,191,0,120,2050
192,192,0,436,2049
193,193,0,884,2049
194,194,0,1426,2049
195,195,0,2020,2049
196,196,0,2616,2049
197,197,0,3165,2049
198,198,0,3622,2050
199,199,0,3951,2049
200,200,0,4095,2049
201,201,0,4095,2049
202,202,0,3953,2049
203,203,0,3626,2049
204,204,0,3171,2049
205,205,0,2623,2049
206,206,0,2027,2049
207,207,0,1433,2049
208,208,0,890,2049
209,209,0,440,2049
210,210,0,123,2049
211,211,0,0,2049
212,212,0,0,2049
213,213,0,157,2049
214,214,0,494,2049
215,215,0,959,2048
216,216,0,1511,2050
217,217,0,2108,2050
218,218,0,2700,2049
219,219,0,3238,2049
220,220,0,3679,2049
221,221,0,3986,2050
222,222,0,4095,2049
223,223,0,4095,2049
224,224,0,3914,2050
225,225,0,3567,2050
226,226,0,3095,2048
227,227,0,2537,2050
228,228,0,1939,2048
229,229,0,1348,2049
230,230,0,816,2049
231,231,0,385,2049
232,232,0,90,2049
233,233,0,0,2049
234,234,0,0,2049
235,235,0,197,2049
236,236,0,555,2049
237,237,0,1035,2049
238,238,0,1598,2050
239,239,0,2197,2049
240,240,0,2784,2049
241,241,0,3311,2049
242,242,0,3734,2050
243,243,0,4018,2049
244,244,0,4095,2049
245,245,0,4090,2049
246,246,0,3872,2049
247,247,0,3505,2049
248,248,0,3018,2049
249,249,0,2450,2049
250,250,0,1850,2049
251,251,0,1267,2050
252,252,0,746,2049
253,253,0,333,2049
254,254,0,60,2049
255,255,0,0,2049
256,256,0,12,2049
257,257,0,241,2049
258,258,0,618,2049
259,259,0,1113,2050
260,260,0,1684,2049
261,261,0,2285,2049
262,262,0,2866,2049
263,263,0,3381,2049
264,264,0,3785,2049
265,265,0,4046,2049
266,266,0,4095,2049
267,267,0,4068,2050
268,268,0,3827,2049
269,269,0,3439,2049
270,270,0,2938,2049
271,271,0,2363,2049
272,272,0,1762,2049
273,273,0,1184,2049
274,274,0,678,2050
275,275,0,283,2049
276,276,0,33,2049
277,277,0,0,2049
278,278,0,36,2049
279,279,0,288,2050
280,280,0,685,2049
281,281,0,1194,2049
282,282,0,1772,2050
283,283,0,2373,2049
284,284,0,2947,2049
285,285,0,3448,2049
286,286,0,3833,2049
287,287,0,4071,2050
288,288,0,4095,2050
289,289,0,4043,2049
290,290,0,3779,2049
291,291,0,3373,2049
292,292,0,2857,2049
293,293,0,2275,2049
294,294,0,1675,2049
295,295,0,1105,2049
296,296,0,612,2049
297,297,0,237,2049
298,298,0,10,2049
299,299,0,0,2049
300,300,0,62,2050
301,301,0,338,2049
302,302,0,753,2049
303,303,0,1275,2049
304,304,0,1860,2049
305,305,0,2460,2049
306,306,0,3027,2049
307,307,0,3512,2050
308,308,0,3878,2049
309,309,0,4093,2050
310,310,0,4095,2049
311,311,0,4014,2049
312,312,0,3727,2049
313,313,0,3303,2049
314,314,0,2775,2049
315,315,0,2188,2049
316,316,0,1588,2049
317,317,0,1027,2049
318,318,0,549,2049
319,319,0,193,2049
320,320,0,0,2048
321,321,0,0,2050
322,322,0,93,2049
323,323,0,390,2049
324,324,0,824,2049
325,325,0,1358,2049
326,326,0,1948,2049
327,327,0,2547,2049
328,328,0,3103,2049
329,329,0,3574,2049
330,330,0,3919,2049
331,331,0,4095,2049
332,332,0,4095,2049
333,333,0,3982,2050
334,334,0,3673,2049
335,335,0,3230,2049
336,336,0,2691,2050
337,337,0,2099,2049
338,338,0,1502,2049
339,339,0,950,2049
340,340,0,488,2048
341,341,0,153,2049
342,342,0,0,2049
343,343,0,0,2049
344,344,0,127,2049
345,345,0,446,2049
346,346,0,898,2049
347,347,0,1442,2049
348,348,0,2037,2049
349,349,0,2632,2049
350,350,0,3179,2050
351,351,0,3633,2050
352,352,0,3957,2049
353,353,0,4095,2049
354,354,0,4095,2049
355,355,0,3946,2049
356,356,0,3616,2048
357,357,0,3157,2049
358,358,0,2607,2049
359,359,0,2011,2049
360,360,0,1417,2050
361,361,0,875,2049
362,362,0,430,2050
363,363,0,117,2049
364,364,0,0,2049
365,365,0,0,2049
366,366,0,164,2049
367,367,0,505,2049
368,368,0,972,2049
369,369,0,1527,2049
370,370,0,2125,2049
371,371,0,2716,2049
372,372,0,3252,2050
373,373,0,3689,2050
374,374,0,3992,2049
375,375,0,4095,2049
376,376,0,4095,2049
377,377,0,3906,2050
378,378,0,3555,2049
379,379,0,3080,2050
380,380,0,2521,2049
381,381,0,1922,2049
382,382,0,1334,2050
383,383,0,803,2050
384,384,0,376,2049
385,385,0,84,2049
386,386,0,0,2049
387,387,0,0,2050
388,388,0,206,2049
389,389,0,567,2049
390,390,0,1050,2048
391,391,0,1614,2049
392,392,0,2213,2050
393,393,0,2800,2050
394,394,0,3324,2049
395,395,0,3743,2049
396,396,0,4024,2049
397,397,0,4095,2050
398,398,0,4086,2049
399,399,0,3864,2050
400,400,0,3493,2050
401,401,0,3003,2050
402,402,0,2434,2049
403,403,0,1834,2049
404,404,0,1250,2049
405,405,0,733,2050
406,406,0,323,2049
407,407,0,54,2049
408,408,0,0,2049
409,409,0,16,2049
410,410,0,250,2049
411,411,0,631,2050
412,412,0,1128,2049
413,413,0,1701,2049
414,414,0,2302,2049
415,415,0,2882,2049
416,416,0,3393,2049
417,417,0,3794,2049
418,418,0,4051,2049
