Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,3463
1,1,0,2046,3651
2,2,0,2046,3812
3,3,0,2047,3940
4,4,0,2046,4035
5,5,0,2046,4095
6,6,0,2047,4095
7,7,0,2046,4095
8,8,0,2046,4057
9,9,0,2047,3972
10,10,0,2046,3853
11,11,0,2047,3702
12,12,0,2047,3522
13,13,0,2047,3315
14,14,0,2046,3085
15,15,0,2047,2839
16,16,0,2047,2575
17,17,0,2047,2305
18,18,0,2047,2027
19,19,0,2046,1750
20,20,0,2047,1478
21,21,0,2046,1217
22,22,0,2047,970
23,23,0,2047,741
24,24,0,2047,536
25,25,0,2047,356
26,26,0,2047,207
27,27,0,2046,91
28,28,0,2046,8
29,29,0,2047,0
30,30,0,2047,0
31,31,0,2046,0
32,32,0,2046,46
33,33,0,2046,145
34,34,0,2047,279
35,35,0,2046,443
36,36,0,2047,635
37,37,0,2047,853
38,38,0,2047,1090
39,39,0,2046,1345
40,40,0,2047,1612
41,41,0,2046,1886
42,42,0,2046,2162
43,43,0,2046,2437
44,44,0,2047,2704
45,45,0,2047,2960
46,46,0,2046,3200
47,47,0,2047,3418
48,48,0,2046,3613
49,49,0,2047,3779
50,50,0,2047,3915
51,51,0,2047,4018
52,52,0,2047,4086
53,53,0,2047,4095
54,54,0,2046,4095
55,55,0,2047,4072
56,56,0,2047,3993
57,57,0,2047,3881
58,58,0,2047,3737
59,59,0,2046,3564
60,60,0,2047,3362
61,61,0,2047,3137
62,62,0,2046,2893
63,63,0,2047,2634
64,64,0,2047,2363
65,65,0,2046,2086
66,66,0,2046,1810
67,67,0,2047,1537
68,68,0,2047,1272
69,69,0,2046,1022
70,70,0,2046,788
71,71,0,2047,577
72,72,0,2047,392
73,73,0,2046,237
74,74,0,2046,113
75,75,0,2047,23
76,76,0,2047,0
77,77,0,2047,0
78,78,0,2047,0
79,79,0,2047,29
80,80,0,2047,121
81,81,0,2047,248
82,82,0,2047,405
83,83,0,2048,592
84,84,0,2047,804
85,85,0,2047,1038
86,86,0,2047,1290
87,87,0,2046,1554
88,88,0,2046,1827
89,89,0,2047,2104
90,90,0,2046,2379
91,91,0,2047,2648
92,92,0,2047,2906
93,93,0,2047,3150
94,94,0,2046,3373
95,95,0,2047,3574
96,96,0,2047,3746
97,97,0,2047,3889
98,98,0,2047,3999
99,99,0,2046,4074
100,100,0,2047,4095
101,101,0,2047,4095
102,102,0,2046,4082
103,103,0,2047,4013
104,104,0,2046,3909
105,105,0,2047,3771
106,106,0,2047,3603
107,107,0,2046,3407
108,108,0,2046,3187
109,109,0,2046,2946
110,110,0,2047,2690
111,111,0,2047,2421
112,112,0,2047,2146
113,113,0,2047,1869
114,114,0,2046,1595
115,115,0,2046,1328
116,116,0,2047,1074
117,117,0,2046,837
118,118,0,2047,620
119,119,0,2046,429
120,120,0,2046,267
121,121,0,2046,137
122,122,0,2047,40
123,123,0,2046,0
124,124,0,2047,0
125,125,0,2047,0
126,126,0,2047,14
127,127,0,2046,98
128,128,0,2047,218
129,129,0,2047,369
130,130,0,2047,549
131,131,0,2046,756
132,132,0,2046,986
133,133,0,2046,1234
134,134,0,2047,1496
135,135,0,2046,1768
136,136,0,2046,2044
137,137,0,2046,2320
138,138,0,2046,2591
139,139,0,2046,2853
140,140,0,2047,3100
141,141,0,2046,3328
142,142,0,2047,3533
143,143,0,2046,3711
144,144,0,2047,3862
145,145,0,2046,3978
146,146,0,2046,4061
147,147,0,2047,4095
148,148,0,2047,4095
149,149,0,2047,4093
150,150,0,2047,4031
151,151,0,2046,3933
152,152,0,2047,3802
153,153,0,2046,3641
154,154,0,2046,3451
155,155,0,2047,3235
156,156,0,2046,2999
157,157,0,2046,2746
158,158,0,2046,2480
159,159,0,2047,2205
160,160,0,2047,1928
161,161,0,2047,1653
162,162,0,2047,1384
163,163,0,2046,1127
164,164,0,2047,886
165,165,0,2047,665
166,166,0,2047,468
167,167,0,2047,300
168,168,0,2046,162
169,169,0,2046,58
170,170,0,2046,0
171,171,0,2046,0
172,172,0,2046,0
173,173,0,2047,1
174,174,0,2047,78
175,175,0,2046,189
176,176,0,2048,333
177,177,0,2046,509
178,178,0,2046,711
179,179,0,2047,935
180,180,0,2046,1180
181,181,0,2047,1440
182,182,0,2047,1710
183,183,0,2046,1985
184,184,0,2046,2262
185,185,0,2047,2534
186,186,0,2047,2798
187,187,0,2046,3048
188,188,0,2046,3281
189,189,0,2046,3491
190,190,0,2047,3676
191,191,0,2046,3832
192,192,0,2046,3956
193,193,0,2046,4046
194,194,0,2047,4095
195,195,0,2046,4095
196,196,0,2047,4095
197,197,0,2046,4048
198,198,0,2047,3957
199,199,0,2046,3834
200,200,0,2046,3678
201,201,0,2046,3494
202,202,0,2046,3284
203,203,0,2047,3051
204,204,0,2047,2801
205,205,0,2046,2537
206,206,0,2047,2265
207,207,0,2047,1988
208,208,0,2047,1711
209,209,0,2046,1441
210,210,0,2046,1181
211,211,0,2046,936
212,212,0,2047,711
213,213,0,2047,508
214,214,0,2046,334
215,215,0,2047,189
216,216,0,2046,77
217,217,0,2046,0
218,218,0,2047,0
219,219,0,2046,0
220,220,0,2047,0
221,221,0,2047,57
222,222,0,2046,163
223,223,0,2047,300
224,224,0,2046,469
225,225,0,2046,665
