Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,908
1,1,0,2046,1662
2,2,0,2047,2473
3,3,0,2047,3217
4,4,0,2046,3781
5,5,0,2047,4079
6,6,0,2046,4065
7,7,0,2046,3738
8,8,0,2047,3153
9,9,0,2047,2396
10,10,0,2046,1585
11,11,0,2047,844
12,12,0,2047,285
13,13,0,2047,0
14,14,0,2046,17
15,15,0,2046,349
16,16,0,2046,940
17,17,0,2047,1698
18,18,0,2047,2509
19,19,0,2047,3248
20,20,0,2047,3801
21,21,0,2047,4085
22,22,0,2047,4056
23,23,0,2047,3717
24,24,0,2047,3121
25,25,0,2047,2359
26,26,0,2046,1548
27,27,0,2046,814
28,28,0,2046,265
29,29,0,2047,0
30,30,0,2046,26
31,31,0,2047,371
32,32,0,2046,971
33,33,0,2046,1735
34,34,0,2046,2546
35,35,0,2047,3278
36,36,0,2047,3821
37,37,0,2046,4091
38,38,0,2047,4047
39,39,0,2047,3695
40,40,0,2047,3089
41,41,0,2047,2322
42,42,0,2046,1513
43,43,0,2046,784
44,44,0,2047,246
45,45,0,2046,0
46,46,0,2047,36
47,47,0,2046,393
48,48,0,2047,1004
49,49,0,2046,1773
50,50,0,2047,2582
51,51,0,2047,3308
52,52,0,2046,3840
53,53,0,2047,4095
54,54,0,2046,4038
55,55,0,2046,3672
56,56,0,2047,3056
57,57,0,2046,2285
58,58,0,2047,1476
59,59,0,2046,754
60,60,0,2047,227
61,61,0,2046,0
62,62,0,2047,45
63,63,0,2047,416
64,64,0,2047,1036
65,65,0,2047,1809
66,66,0,2046,2617
67,67,0,2047,3337
68,68,0,2046,3858
69,69,0,2047,4095
70,70,0,2046,4027
71,71,0,2046,3648
72,72,0,2047,3023
73,73,0,2046,2248
74,74,0,2047,1440
75,75,0,2047,725
76,76,0,2047,210
77,77,0,2046,0
78,78,0,2047,56
79,79,0,2046,440
80,80,0,2047,1069
81,81,0,2046,1847
82,82,0,2047,2654
83,83,0,2047,3366
84,84,0,2046,3876
85,85,0,2046,4095
86,86,0,2046,4016
87,87,0,2047,3624
88,88,0,2047,2990
89,89,0,2047,2211
90,90,0,2046,1405
91,91,0,2047,696
92,92,0,2046,192
93,93,0,2046,0
94,94,0,2046,67
95,95,0,2046,464
96,96,0,2047,1104
97,97,0,2047,1884
98,98,0,2046,2689
99,99,0,2047,3394
100,100,0,2046,3893
101,101,0,2047,4095
102,102,0,2046,4004
103,103,0,2047,3600
104,104,0,2047,2957
105,105,0,2046,2174
106,106,0,2047,1369
107,107,0,2046,668
108,108,0,2047,176
109,109,0,2046,0
110,110,0,2047,78
111,111,0,2046,489
112,112,0,2047,1136
113,113,0,2047,1921
114,114,0,2046,2725
115,115,0,2046,3423
116,116,0,2046,3908
117,117,0,2046,4095
118,118,0,2046,3991
119,119,0,2047,3575
120,120,0,2047,2923
121,121,0,2046,2136
122,122,0,2047,1334
123,123,0,2047,639
124,124,0,2046,160
125,125,0,2046,0
126,126,0,2047,91
127,127,0,2046,514
128,128,0,2046,1170
129,129,0,2046,1959
130,130,0,2046,2760
131,131,0,2047,3451
132,132,0,2046,3925
133,133,0,2047,4095
134,134,0,2047,3979
135,135,0,2047,3550
136,136,0,2047,2889
137,137,0,2046,2099
138,138,0,2047,1299
139,139,0,2047,613
140,140,0,2047,143
141,141,0,2047,0
142,142,0,2047,105
143,143,0,2046,539
144,144,0,2047,1204
145,145,0,2046,1996
146,146,0,2047,2794
147,147,0,2046,3478
148,148,0,2047,3940
149,149,0,2047,4095
150,150,0,2047,3966
151,151,0,2046,3524
152,152,0,2047,2855
153,153,0,2047,2061
154,154,0,2046,1264
155,155,0,2047,585
156,156,0,2046,129
157,157,0,2046,0
158,158,0,2046,119
159,159,0,2047,566
160,160,0,2046,1239
161,161,0,2047,2034
162,162,0,2047,2829
163,163,0,2046,3505
164,164,0,2046,3955
165,165,0,2046,4095
166,166,0,2047,3951
167,167,0,2047,3497
168,168,0,2047,2820
169,169,0,2046,2024
170,170,0,2046,1229
171,171,0,2047,559
172,172,0,2047,115
173,173,0,2047,0
174,174,0,2047,133
175,175,0,2047,592
176,176,0,2047,1273
177,177,0,2046,2071
178,178,0,2047,2865
179,179,0,2047,3531
180,180,0,2047,3969
181,181,0,2047,4095
182,182,0,2047,3937
183,183,0,2047,3471
184,184,0,2046,2786
185,185,0,2046,1986
186,186,0,2046,1195
187,187,0,2047,533
188,188,0,2046,101
189,189,0,2047,0
190,190,0,2046,147
191,191,0,2047,620
192,192,0,2046,1308
193,193,0,2046,2109
194,194,0,2046,2898
195,195,0,2047,3556
196,196,0,2047,3982
197,197,0,2047,4095
198,198,0,2046,3921
199,199,0,2047,3443
200,200,0,2046,2750
201,201,0,2047,1949
202,202,0,2046,1161
203,203,0,2046,508
204,204,0,2046,88
205,205,0,2047,0
206,206,0,2047,164
207,207,0,2046,647
208,208,0,2047,1343
209,209,0,2046,2145
210,210,0,2046,2932
211,211,0,2047,3581
212,212,0,2046,3995
213,213,0,2047,4095
214,214,0,2047,3905
215,215,0,2047,3415
216,216,0,2046,2715
217,217,0,2047,1911
218,218,0,2046,1127
219,219,0,2047,482
220,220,0,2047,75
221,221,0,2046,0
222,222,0,2046,180
223,223,0,2047,675
224,224,0,2047,1379
225,225,0,2046,2184
226,226,0,2047,2966
227,227,0,2047,3607
228,228,0,2046,4007
229,229,0,2047,4095
230,230,0,2047,3888
231,231,0,2046,3388
232,232,0,2046,2680
233,233,0,2047,1874
234,234,0,2047,1093
235,235,0,2046,457
236,236,0,2046,65
237,237,0,2046,0
238,238,0,2046,197
239,239,0,2047,703
240,240,0,2046,1415
241,241,0,2046,2221
242,242,0,2047,2999
243,243,0,2047,3631
244,244,0,2047,4018
245,245,0,2046,4095
246,246,0,2047,3871
247,247,0,2047,3358
248,248,0,2046,2643
249,249,0,2047,1836
250,250,0,2046,1061
251,251,0,2046,435
252,252,0,2046,53
253,253,0,2047,0
254,254,0,2047,214
255,255,0,2047,733
256,256,0,2047,1450
