Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,4004
1,1,0,2046,3481
2,2,0,2046,2616
3,3,0,2047,1615
4,4,0,2046,715
5,5,0,2046,127
6,6,0,2047,0
7,7,0,2047,344
8,8,0,2047,1096
9,9,0,2046,2073
10,10,0,2046,3041
11,11,0,2047,3770
12,12,0,2047,4090
13,13,0,2047,3923
14,14,0,2046,3309
15,15,0,2047,2394
16,16,0,2046,1394
17,17,0,2047,549
18,18,0,2046,54
19,19,0,2046,31
20,20,0,2047,484
21,21,0,2046,1305
22,22,0,2046,2299
23,23,0,2046,3233
24,24,0,2046,3882
25,25,0,2046,4095
26,26,0,2046,3820
27,27,0,2046,3123
28,28,0,2046,2168
29,29,0,2046,1183
30,30,0,2046,400
31,31,0,2046,6
32,32,0,2046,93
33,33,0,2046,642
34,34,0,2047,1522
35,35,0,2045,2524
36,36,0,2046,3411
37,37,0,2047,3971
38,38,0,2047,4075
39,39,0,2046,3695
40,40,0,2047,2922
41,41,0,2046,1940
42,42,0,2045,981
43,43,0,2046,272
44,44,0,2046,0
45,45,0,2047,180
46,46,0,2046,818
47,47,0,2046,1744
48,48,0,2047,2742
49,49,0,2046,3572
50,50,0,2046,4038
51,51,0,2047,4031
52,52,0,2046,3550
53,53,0,2046,2712
54,54,0,2046,1713
55,55,0,2046,792
56,56,0,2046,166
57,57,0,2046,0
58,58,0,2046,289
59,59,0,2046,1009
60,60,0,2046,1972
61,61,0,2047,2952
62,62,0,2047,3714
63,63,0,2046,4080
64,64,0,2046,3961
65,65,0,2046,3386
66,66,0,2046,2492
67,67,0,2047,1491
68,68,0,2046,618
69,69,0,2047,83
70,70,0,2046,11
71,71,0,2046,420
72,72,0,2046,1212
73,73,0,2046,2200
74,74,0,2046,3151
75,75,0,2047,3836
76,76,0,2046,4095
77,77,0,2046,3867
78,78,0,2046,3206
79,79,0,2046,2268
80,80,0,2046,1274
81,81,0,2047,463
82,82,0,2047,24
83,83,0,2046,63
84,84,0,2046,570
85,85,0,2046,1426
86,86,0,2046,2426
87,87,0,2047,3335
88,88,0,2046,3936
89,89,0,2047,4087
90,90,0,2047,3752
91,91,0,2046,3012
92,92,0,2046,2040
93,93,0,2047,1068
94,94,0,2046,326
95,95,0,2047,0
96,96,0,2047,139
97,97,0,2047,739
98,98,0,2046,1646
99,99,0,2046,2648
100,100,0,2046,3504
101,101,0,2047,4012
102,102,0,2046,4053
103,103,0,2046,3616
104,104,0,2046,2805
105,105,0,2046,1812
106,106,0,2046,873
107,107,0,2047,210
108,108,0,2046,0
109,109,0,2046,239
110,110,0,2046,924
111,111,0,2047,1873
112,112,0,2047,2861
113,113,0,2046,3654
114,114,0,2047,4064
115,115,0,2046,3994
116,116,0,2046,3460
117,117,0,2046,2589
118,118,0,2046,1588
119,119,0,2046,692
120,120,0,2045,117
121,121,0,2046,0
122,122,0,2046,360
123,123,0,2046,1122
124,124,0,2047,2100
125,125,0,2047,3064
126,126,0,2046,3785
127,127,0,2047,4092
128,128,0,2046,3912
129,129,0,2046,3287
130,130,0,2047,2366
131,131,0,2047,1368
132,132,0,2047,529
133,133,0,2046,48
134,134,0,2046,37
135,135,0,2046,502
136,136,0,2046,1332
137,137,0,2046,2328
138,138,0,2046,3255
139,139,0,2047,3895
140,140,0,2047,4094
141,141,0,2046,3806
142,142,0,2046,3098
143,143,0,2046,2140
144,144,0,2047,1157
145,145,0,2046,383
146,146,0,2046,1
147,147,0,2047,103
148,148,0,2046,663
149,149,0,2046,1549
150,150,0,2047,2551
151,151,0,2046,3431
152,152,0,2047,3981
153,153,0,2047,4071
154,154,0,2046,3678
155,155,0,2046,2897
156,156,0,2046,1912
157,157,0,2046,957
158,158,0,2046,258
159,159,0,2047,0
160,160,0,2046,192
161,161,0,2045,841
162,162,0,2047,1773
163,163,0,2046,2769
164,164,0,2047,3591
165,165,0,2046,4045
166,166,0,2047,4024
167,167,0,2047,3532
168,168,0,2046,2685
169,169,0,2046,1686
170,170,0,2047,770
171,171,0,2046,155
172,172,0,2047,0
173,173,0,2046,304
174,174,0,2046,1033
175,175,0,2047,2000
176,176,0,2047,2977
177,177,0,2047,3730
178,178,0,2047,4083
179,179,0,2046,3951
180,180,0,2046,3365
181,181,0,2047,2465
182,182,0,2046,1463
183,183,0,2047,599
184,184,0,2046,75
185,185,0,2047,16
186,186,0,2046,438
187,187,0,2047,1239
188,188,0,2047,2228
189,189,0,2047,3174
190,190,0,2047,3850
191,191,0,2046,4095
192,192,0,2047,3855
193,193,0,2047,3183
194,194,0,2046,2240
195,195,0,2047,1249
196,196,0,2047,445
197,197,0,2047,19
198,198,0,2046,71
199,199,0,2047,590
200,200,0,2046,1452
201,201,0,2046,2454
202,202,0,2046,3356
203,203,0,2046,3947
204,204,0,2046,4085
205,205,0,2047,3737
206,206,0,2046,2987
207,207,0,2046,2012
208,208,0,2046,1043
209,209,0,2047,311
210,210,0,2046,0
211,211,0,2046,150
212,212,0,2047,761
213,213,0,2047,1675
214,214,0,2046,2674
215,215,0,2047,3523
216,216,0,2047,4020
217,217,0,2047,4047
218,218,0,2046,3599
219,219,0,2046,2779
220,220,0,2047,1785
221,221,0,2047,850
222,222,0,2047,197
223,223,0,2047,0
224,224,0,2046,252
225,225,0,2046,946
226,226,0,2046,1900
227,227,0,2046,2886
228,228,0,2046,3671
229,229,0,2046,4069
230,230,0,2046,3985
231,231,0,2047,3441
232,232,0,2047,2562
233,233,0,2047,1560
234,234,0,2047,671
235,235,0,2046,106
236,236,0,2046,0
237,237,0,2046,375
238,238,0,2047,1146
239,239,0,2046,2128
240,240,0,2046,3088
241,241,0,2046,3800
242,242,0,2046,4093
243,243,0,2046,3899
244,244,0,2047,3265
245,245,0,2046,2339
246,246,0,2047,1342
247,247,0,2046,510
248,248,0,2046,40
249,249,0,2046,44
250,250,0,2046,521
251,251,0,2046,1357
252,252,0,2046,2355
253,253,0,2046,3278
254,254,0,2046,3907
255,255,0,2047,4093
256,256,0,2047,3792
257,257,0,2046,3074
258,258,0,2046,2112
259,259,0,2047,1132
260,260,0,2046,367
261,261,0,2046,0
262,262,0,2047,112
263,263,0,2047,684
264,264,0,2046,1577
265,265,0,2047,2578
266,266,0,2046,3452
267,267,0,2046,3991
268,268,0,2047,4066
269,269,0,2046,3662
270,270,0,2046,2871
271,271,0,2046,1884
272,272,0,2046,933
273,273,0,2047,244
274,274,0,2046,0
275,275,0,2047,205
276,276,0,2046,863
277,277,0,2046,1801
278,278,0,2047,2794
279,279,0,2046,3609
280,280,0,2047,4050
281,281,0,2047,4016
282,282,0,2046,3512
283,283,0,2047,2658
284,284,0,2047,1658
285,285,0,2046,748
286,286,0,2046,144
287,287,0,2046,0
288,288,0,2047,319
289,289,0,2046,1058
290,290,0,2047,2028
291,291,0,2046,3002
292,292,0,2047,3745
293,293,0,2047,4086
294,294,0,2046,3940
295,295,0,2046,3344
296,296,0,2046,2438
297,297,0,2047,1438
298,298,0,2047,579
299,299,0,2046,66
300,300,0,2046,22
301,301,0,2046,456
302,302,0,2046,1264
303,303,0,2046,2256
304,304,0,2046,3197
305,305,0,2047,3862
306,306,0,2047,4095
307,307,0,2046,3842
308,308,0,2046,3160
309,309,0,2046,2212
310,310,0,2046,1223
311,311,0,2046,427
312,312,0,2046,13
313,313,0,2046,80
314,314,0,2047,610
315,315,0,2046,1480
316,316,0,2047,2481
317,317,0,2047,3378
318,318,0,2047,3957
319,319,0,2046,4081
320,320,0,2046,3721
321,321,0,2046,2962
322,322,0,2047,1984
323,323,0,2046,1019
324,324,0,2046,296
325,325,0,2046,0
326,326,0,2046,161
327,327,0,2046,782
328,328,0,2047,1702
329,329,0,2046,2700
330,330,0,2046,3543
331,331,0,2046,4027
332,332,0,2047,4041
333,333,0,2046,3580
334,334,0,2046,2753
335,335,0,2046,1757
336,336,0,2046,828
337,337,0,2046,185
338,338,0,2046,0
339,339,0,2047,266
340,340,0,2046,971
341,341,0,2047,1928
342,342,0,2046,2912
343,343,0,2046,3688
344,344,0,2047,4073
345,345,0,2047,3977
346,346,0,2046,3419
347,347,0,2046,2535
348,348,0,2046,1534
349,349,0,2047,651
350,350,0,2046,97
351,351,0,2046,4
352,352,0,2046,393
353,353,0,2047,1172
354,354,0,2046,2157
355,355,0,2047,3112
356,356,0,2047,3814
357,357,0,2046,4094
358,358,0,2047,3888
359,359,0,2046,3242
360,360,0,2047,2312
361,361,0,2046,1316
362,362,0,2046,491
363,363,0,2046,34
364,364,0,2046,51
365,365,0,2046,540
366,366,0,2046,1384
367,367,0,2046,2383
368,368,0,2046,3300
369,369,0,2047,3918
370,370,0,2047,4091
371,371,0,2046,3777
372,372,0,2046,3050
373,373,0,2046,2084
374,374,0,2046,1107
375,375,0,2046,351
376,376,0,2047,0
377,377,0,2047,123
378,378,0,2047,705
379,379,0,2046,1604
380,380,0,2047,2605
381,381,0,2047,3472
382,382,0,2046,3999
383,383,0,2046,4061
384,384,0,2047,3644
385,385,0,2046,2846
386,386,0,2046,1857
387,387,0,2046,910
388,388,0,2047,231
389,389,0,2046,0
390,390,0,2046,218
391,391,0,2046,887
392,392,0,2046,1828
393,393,0,2047,2820
394,394,0,2046,3626
395,395,0,2046,4056
396,396,0,2047,4008
397,397,0,2047,3492
398,398,0,2047,2632
399,399,0,2046,1631
400,400,0,2046,726
401,401,0,2047,134
402,402,0,2047,0
403,403,0,2046,335
404,404,0,2046,1083
405,405,0,2046,2056
406,406,0,2047,3026
407,407,0,2047,3761
408,408,0,2047,4089
409,409,0,2047,3929
410,410,0,2046,3321
411,411,0,2046,2411
412,412,0,2046,1410
413,413,0,2046,560
414,414,0,2047,58
415,415,0,2047,27
416,416,0,2046,473
417,417,0,2047,1290
418,418,0,2046,2284
419,419,0,2046,3219
420,420,0,2046,3875
421,421,0,2047,4095
422,422,0,2047,3828
423,423,0,2047,3136
424,424,0,2046,2184
425,425,0,2047,1198
426,426,0,2047,410
427,427,0,2046,8
428,428,0,2047,88
429,429,0,2047,631
430,430,0,2046,1507
431,431,0,2047,2508
432,432,0,2047,3399
433,433,0,2047,3967
434,434,0,2047,4078
435,435,0,2046,3705
436,436,0,2046,2937
437,437,0,2046,1956
438,438,0,2046,995
439,439,0,2047,281
440,440,0,2047,0
441,441,0,2046,173
442,442,0,2047,805
443,443,0,2046,1729
444,444,0,2046,2727
445,445,0,2046,3561
446,446,0,2046,4035
447,447,0,2046,4035
448,448,0,2046,3561
449,449,0,2047,2727
450,450,0,2046,1729
451,451,0,2046,805
452,452,0,2047,173
453,453,0,2046,0
454,454,0,2046,281
455,455,0,2046,995
456,456,0,2046,1957
457,457,0,2046,2938
458,458,0,2047,3705
459,459,0,2046,4078
460,460,0,2046,3966
461,461,0,2046,3398
462,462,0,2046,2508
463,463,0,2046,1506
464,464,0,2046,630
465,465,0,2046,88
466,466,0,2047,8
467,467,0,2046,410
468,468,0,2046,1197
469,469,0,2047,2184
470,470,0,2046,3137
471,471,0,2046,3829
472,472,0,2047,4095
473,473,0,2046,3875
474,474,0,2046,3219
475,475,0,2046,2284
476,476,0,2046,1289
477,477,0,2047,473
478,478,0,2046,27
479,479,0,2046,59
480,480,0,2046,560
481,481,0,2047,1410
482,482,0,2047,2410
483,483,0,2046,3322
484,484,0,2046,3930
