Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,3175
1,1,0,2046,2635
2,2,0,2047,2047
3,3,0,2047,1458
4,4,0,2046,916
5,5,0,2047,466
6,6,0,2047,144
7,7,0,2047,0
8,8,0,2047,0
9,9,0,2047,145
10,10,0,2046,468
11,11,0,2047,919
12,12,0,2047,1461
13,13,0,2047,2051
14,14,0,2046,2639
15,15,0,2047,3178
16,16,0,2047,3625
17,17,0,2047,3943
18,18,0,2046,4095
19,19,0,2047,4095
20,20,0,2046,3923
21,21,0,2047,3594
22,22,0,2047,3140
23,23,0,2046,2596
24,24,0,2046,2005
25,25,0,2046,1418
26,26,0,2046,881
27,27,0,2047,439
28,28,0,2046,127
29,29,0,2047,0
30,30,0,2046,0
31,31,0,2047,162
32,32,0,2046,496
33,33,0,2046,955
34,34,0,2047,1502
35,35,0,2046,2092
36,36,0,2047,2678
37,37,0,2046,3213
38,38,0,2047,3652
39,39,0,2047,3959
40,40,0,2047,4095
41,41,0,2047,4091
42,42,0,2047,3905
43,43,0,2046,3567
44,44,0,2047,3104
45,45,0,2047,2555
46,46,0,2046,1963
47,47,0,2047,1378
48,48,0,2047,846
49,49,0,2046,412
50,50,0,2046,110
51,51,0,2047,0
52,52,0,2046,0
53,53,0,2047,181
54,54,0,2047,524
55,55,0,2046,990
56,56,0,2046,1542
57,57,0,2046,2134
58,58,0,2046,2718
59,59,0,2047,3247
60,60,0,2047,3678
61,61,0,2046,3974
62,62,0,2046,4095
63,63,0,2046,4083
64,64,0,2046,3886
65,65,0,2046,3538
66,66,0,2046,3068
67,67,0,2046,2514
68,68,0,2046,1922
69,69,0,2047,1338
70,70,0,2047,813
71,71,0,2046,386
72,72,0,2047,95
73,73,0,2047,0
74,74,0,2047,0
75,75,0,2047,201
76,76,0,2046,553
77,77,0,2046,1026
78,78,0,2047,1583
79,79,0,2047,2175
80,80,0,2046,2758
81,81,0,2047,3282
82,82,0,2047,3704
83,83,0,2046,3990
84,84,0,2046,4095
85,85,0,2047,4075
86,86,0,2046,3866
87,87,0,2046,3508
88,88,0,2046,3031
89,89,0,2047,2473
90,90,0,2046,1880
91,91,0,2046,1299
92,92,0,2047,778
93,93,0,2046,360
