Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,1055
1,1,0,2046,1465
2,2,0,2046,1901
3,3,0,2047,2343
4,4,0,2047,2773
5,5,0,2047,3169
6,6,0,2047,3515
7,7,0,2046,3795
8,8,0,2047,3996
9,9,0,2047,4095
10,10,0,2047,4095
11,11,0,2046,4054
12,12,0,2046,3889
13,13,0,2047,3641
14,14,0,2047,3321
15,15,0,2047,2944
16,16,0,2047,2527
17,17,0,2047,2087
18,18,0,2047,1646
19,19,0,2046,1223
20,20,0,2047,837
21,21,0,2047,504
22,22,0,2046,241
23,23,0,2046,57
24,24,0,2046,0
25,25,0,2047,0
26,26,0,2047,52
27,27,0,2047,231
28,28,0,2047,491
29,29,0,2047,821
30,30,0,2047,1206
31,31,0,2046,1628
32,32,0,2046,2069
33,33,0,2046,2508
34,34,0,2046,2927
35,35,0,2046,3307
36,36,0,2046,3629
37,37,0,2047,3880
38,38,0,2047,4048
39,39,0,2047,4095
40,40,0,2047,4095
41,41,0,2047,4002
42,42,0,2046,3804
43,43,0,2046,3528
44,44,0,2046,3185
45,45,0,2046,2790
46,46,0,2047,2361
47,47,0,2046,1919
48,48,0,2047,1483
49,49,0,2046,1071
50,50,0,2047,704
51,51,0,2047,396
52,52,0,2047,161
53,53,0,2046,10
54,54,0,2047,0
55,55,0,2046,0
56,56,0,2047,110
57,57,0,2047,321
58,58,0,2046,609
59,59,0,2047,961
60,60,0,2047,1362
61,61,0,2046,1794
62,62,0,2047,2236
63,63,0,2047,2670
64,64,0,2047,3077
65,65,0,2046,3437
66,66,0,2046,3733
67,67,0,2047,3954
68,68,0,2046,4089
69,69,0,2047,4095
70,70,0,2046,4081
71,71,0,2046,3937
72,72,0,2046,3708
73,73,0,2047,3405
74,74,0,2046,3040
75,75,0,2047,2631
76,76,0,2046,2194
77,77,0,2046,1752
78,78,0,2047,1324
79,79,0,2047,926
80,80,0,2046,579
81,81,0,2047,297
82,82,0,2047,94
83,83,0,2047,0
84,84,0,2046,0
85,85,0,2047,20
86,86,0,2047,180
87,87,0,2047,422
88,88,0,2047,736
89,89,0,2047,1108
90,90,0,2047,1523
91,91,0,2046,1961
92,92,0,2047,2403
93,93,0,2047,2829
94,94,0,2046,3219
95,95,0,2047,3558
96,96,0,2046,3827
97,97,0,2046,4016
98,98,0,2046,4095
99,99,0,2046,4095
100,100,0,2046,4036
101,101,0,2046,3860
102,102,0,2046,3601
103,103,0,2047,3272
104,104,0,2047,2888
105,105,0,2046,2467
106,106,0,2047,2027
107,107,0,2046,1587
108,108,0,2047,1168
109,109,0,2046,788
110,110,0,2046,464
111,111,0,2046,211
112,112,0,2046,38
113,113,0,2047,0
114,114,0,2046,0
115,115,0,2047,71
116,116,0,2046,261
117,117,0,2046,533
118,118,0,2047,871
119,119,0,2047,1262
120,120,0,2046,1688
121,121,0,2046,2130
122,122,0,2046,2568
123,123,0,2046,2982
124,124,0,2046,3355
125,125,0,2046,3668
126,126,0,2046,3909
127,127,0,2047,4065
128,128,0,2047,4095
129,129,0,2046,4095
130,130,0,2047,3979
131,131,0,2046,3771
132,132,0,2047,3484
133,133,0,2047,3133
134,134,0,2047,2733
135,135,0,2045,2302
136,136,0,2046,1859
137,137,0,2047,1424
138,138,0,2046,1018
139,139,0,2046,658
140,140,0,2046,359
141,141,0,2047,135
142,142,0,2047,0
143,143,0,2047,0
144,144,0,2047,0
145,145,0,2047,133
146,146,0,2047,356
147,147,0,2047,654
148,148,0,2046,1014
149,149,0,2046,1420
150,150,0,2047,1855
151,151,0,2046,2297
152,152,0,2047,2728
153,153,0,2046,3129
154,154,0,2046,3481
155,155,0,2047,3768
156,156,0,2046,3978
157,157,0,2047,4095
158,158,0,2047,4095
159,159,0,2047,4066
160,160,0,2046,3911
161,161,0,2047,3671
162,162,0,2046,3358
163,163,0,2046,2985
164,164,0,2046,2572
165,165,0,2047,2134
166,166,0,2047,1692
167,167,0,2047,1266
168,168,0,2046,875
169,169,0,2047,536
170,170,0,2046,265
171,171,0,2047,73
172,172,0,2046,0
173,173,0,2046,0
174,174,0,2046,38
175,175,0,2047,208
176,176,0,2046,460
177,177,0,2047,784
178,178,0,2047,1163
179,179,0,2047,1583
180,180,0,2046,2022
181,181,0,2047,2463
182,182,0,2046,2885
183,183,0,2047,3270
184,184,0,2047,3598
185,185,0,2046,3857
186,186,0,2046,4035
187,187,0,2047,4095
188,188,0,2047,4095
189,189,0,2047,4018
190,190,0,2046,3829
191,191,0,2047,3560
192,192,0,2047,3223
193,193,0,2047,2833
194,194,0,2047,2407
195,195,0,2046,1965
196,196,0,2046,1527
197,197,0,2047,1113
198,198,0,2046,739
199,199,0,2046,424
200,200,0,2046,182
201,201,0,2046,22
202,202,0,2046,0
203,203,0,2047,0
204,204,0,2047,92
205,205,0,2046,294
206,206,0,2046,576
207,207,0,2046,922
208,208,0,2046,1319
209,209,0,2047,1747
210,210,0,2046,2190
211,211,0,2047,2626
212,212,0,2046,3036
213,213,0,2047,3402
214,214,0,2047,3706
215,215,0,2047,3935
216,216,0,2047,4080
217,217,0,2047,4095
218,218,0,2047,4090
219,219,0,2046,3957
220,220,0,2047,3736
221,221,0,2046,3440
222,222,0,2047,3080
223,223,0,2046,2675
224,224,0,2047,2241
225,225,0,2046,1798
226,226,0,2046,1366
227,227,0,2047,965
228,228,0,2046,613
229,229,0,2046,324
230,230,0,2047,111
231,231,0,2047,0
232,232,0,2047,0
233,233,0,2047,9
234,234,0,2047,159
235,235,0,2047,393
236,236,0,2047,700
237,237,0,2047,1067
238,238,0,2047,1479
239,239,0,2046,1915
240,240,0,2047,2358
241,241,0,2047,2785
242,242,0,2047,3181
243,243,0,2047,3525
244,244,0,2046,3802
245,245,0,2046,4001
246,246,0,2046,4095
247,247,0,2046,4095
248,248,0,2047,4050
249,249,0,2046,3882
250,250,0,2047,3631
251,251,0,2046,3310
252,252,0,2047,2931
253,253,0,2046,2513
254,254,0,2047,2074
255,255,0,2047,1632
256,256,0,2046,1210
257,257,0,2047,825
258,258,0,2046,494
259,259,0,2047,232
260,260,0,2047,53
261,261,0,2046,0
262,262,0,2047,0
263,263,0,2047,55
264,264,0,2047,238
265,265,0,2046,501
266,266,0,2046,833
267,267,0,2046,1219
268,268,0,2046,1643
269,269,0,2047,2082
270,270,0,2046,2523
271,271,0,2046,2940
272,272,0,2046,3317
273,273,0,2046,3639
274,274,0,2047,3887
275,275,0,2047,4053
276,276,0,2046,4095
277,277,0,2047,4095
278,278,0,2046,3996
279,279,0,2046,3796
280,280,0,2046,3517
281,281,0,2046,3173
282,282,0,2047,2776
283,283,0,2047,2347
284,284,0,2047,1905
285,285,0,2047,1469
286,286,0,2046,1059
287,287,0,2047,692
288,288,0,2047,386
289,289,0,2047,155
290,290,0,2046,7
291,291,0,2047,0
292,292,0,2046,0
293,293,0,2047,114
294,294,0,2047,329
295,295,0,2046,620
296,296,0,2046,974
297,297,0,2047,1376
298,298,0,2046,1809
299,299,0,2046,2251
300,300,0,2047,2684
301,301,0,2046,3089
302,302,0,2046,3447
303,303,0,2047,3743
304,304,0,2046,3960
305,305,0,2047,4093
306,306,0,2046,4095
307,307,0,2046,4078
308,308,0,2047,3931
309,309,0,2047,3700
310,310,0,2047,3393
311,311,0,2046,3026
312,312,0,2046,2616
313,313,0,2046,2180
314,314,0,2046,1738
315,315,0,2046,1310
316,316,0,2046,914
317,317,0,2047,569
318,318,0,2046,290
319,319,0,2047,88
320,320,0,2046,0
321,321,0,2047,0
322,322,0,2047,25
323,323,0,2047,186
324,324,0,2047,430
325,325,0,2047,748
326,326,0,2046,1122
327,327,0,2047,1537
328,328,0,2047,1976
329,329,0,2047,2418
330,330,0,2046,2842
331,331,0,2047,3232
332,332,0,2046,3568
333,333,0,2046,3834
334,334,0,2047,4021
335,335,0,2047,4095
336,336,0,2047,4095
337,337,0,2047,4032
338,338,0,2047,3852
339,339,0,2047,3591
340,340,0,2046,3260
341,341,0,2046,2875
342,342,0,2046,2453
343,343,0,2047,2012
344,344,0,2046,1573
345,345,0,2046,1155
346,346,0,2047,776
347,347,0,2047,455
348,348,0,2047,203
349,349,0,2046,35
350,350,0,2046,0
351,351,0,2047,0
352,352,0,2046,76
353,353,0,2046,270
354,354,0,2046,543
355,355,0,2047,883
356,356,0,2047,1275
357,357,0,2046,1702
358,358,0,2046,2144
359,359,0,2046,2581
360,360,0,2047,2995
361,361,0,2046,3367
362,362,0,2046,3677
363,363,0,2047,3915
364,364,0,2046,4068
365,365,0,2047,4095
366,366,0,2047,4095
367,367,0,2046,3975
368,368,0,2047,3762
369,369,0,2047,3474
370,370,0,2047,3121
371,371,0,2047,2719
372,372,0,2047,2288
373,373,0,2047,1844
374,374,0,2046,1411
375,375,0,2047,1005
376,376,0,2047,647
377,377,0,2046,350
378,378,0,2047,130
379,379,0,2046,0
380,380,0,2046,0
381,381,0,2047,0
382,382,0,2047,140
383,383,0,2046,364
384,384,0,2047,665
385,385,0,2047,1027
386,386,0,2046,1433
387,387,0,2046,1869
388,388,0,2047,2311
389,389,0,2047,2742
390,390,0,2047,3141
391,391,0,2046,3492
392,392,0,2046,3777
393,393,0,2047,3984
394,394,0,2046,4095
395,395,0,2047,4095
396,396,0,2046,4062
397,397,0,2046,3904
398,398,0,2047,3662
399,399,0,2047,3347
400,400,0,2046,2973
401,401,0,2046,2558
402,402,0,2046,2119
403,403,0,2047,1678
404,404,0,2046,1254
405,405,0,2047,863
406,406,0,2046,526
407,407,0,2046,256
408,408,0,2046,67
409,409,0,2047,0
410,410,0,2046,0
411,411,0,2047,42
412,412,0,2046,215
413,413,0,2046,470
414,414,0,2046,795
415,415,0,2046,1176
416,416,0,2047,1597
417,417,0,2047,2037
418,418,0,2047,2477
419,419,0,2046,2898
420,420,0,2046,3281
421,421,0,2047,3607
422,422,0,2046,3865
423,423,0,2046,4040
424,424,0,2047,4095
425,425,0,2046,4095
426,426,0,2046,4012
427,427,0,2046,3821
428,428,0,2046,3550
429,429,0,2046,3210
430,430,0,2046,2819
431,431,0,2047,2393
432,432,0,2047,1951
433,433,0,2047,1513
434,434,0,2047,1100
435,435,0,2046,729
436,436,0,2047,415
437,437,0,2046,176
438,438,0,2047,18
439,439,0,2047,0
440,440,0,2046,0
441,441,0,2046,98
442,442,0,2046,303
443,443,0,2046,586
444,444,0,2046,934
445,445,0,2047,1332
446,446,0,2047,1762
447,447,0,2046,2205
448,448,0,2046,2640
449,449,0,2046,3048
450,450,0,2046,3412
451,451,0,2046,3714
452,452,0,2046,3942
453,453,0,2046,4083
