Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2046,427
1,1,0,2047,28
2,2,0,2046,21
3,3,0,2046,407
4,4,0,2047,1111
5,5,0,2047,1995
6,6,0,2046,2888
7,7,0,2046,3615
8,8,0,2046,4035
9,9,0,2046,4067
10,10,0,2046,3702
11,11,0,2046,3013
12,12,0,2047,2134
13,13,0,2047,1237
14,14,0,2047,496
15,15,0,2047,55
16,16,0,2046,0
17,17,0,2046,342
18,18,0,2047,1016
19,19,0,2047,1888
20,20,0,2046,2790
21,21,0,2047,3544
22,22,0,2047,4006
23,23,0,2046,4085
24,24,0,2046,3762
25,25,0,2046,3106
26,26,0,2047,2241
27,27,0,2046,1337
28,28,0,2046,569
29,29,0,2047,87
30,30,0,2047,0
31,31,0,2047,285
32,32,0,2046,925
33,33,0,2047,1783
34,34,0,2046,2689
35,35,0,2047,3469
36,36,0,2047,3971
37,37,0,2046,4095
38,38,0,2046,3820
39,39,0,2046,3197
40,40,0,2047,2348
41,41,0,2045,1438
42,42,0,2046,646
43,43,0,2046,125
44,44,0,2047,0
45,45,0,2046,230
46,46,0,2046,836
47,47,0,2046,1676
48,48,0,2046,2587
49,49,0,2046,3390
50,50,0,2047,3931
51,51,0,2047,4095
52,52,0,2046,3872
53,53,0,2046,3283
54,54,0,2047,2453
55,55,0,2046,1542
56,56,0,2046,728
57,57,0,2046,168
58,58,0,2047,0
59,59,0,2046,181
60,60,0,2046,751
61,61,0,2046,1571
62,62,0,2046,2483
63,63,0,2047,3308
64,64,0,2046,3885
65,65,0,2046,4095
66,66,0,2046,3918
67,67,0,2046,3367
68,68,0,2047,2557
69,69,0,2046,1646
70,70,0,2047,812
71,71,0,2046,216
72,72,0,2047,0
73,73,0,2046,137
74,74,0,2047,669
75,75,0,2046,1468
76,76,0,2046,2378
77,77,0,2047,3221
78,78,0,2047,3834
79,79,0,2047,4095
80,80,0,2047,3960
81,81,0,2046,3447
82,82,0,2047,2660
83,83,0,2046,1752
84,84,0,2046,899
85,85,0,2046,268
86,86,0,2047,0
87,87,0,2047,98
88,88,0,2046,591
89,89,0,2047,1366
90,90,0,2047,2272
91,91,0,2047,3133
92,92,0,2047,3780
93,93,0,2046,4087
94,94,0,2046,3997
95,95,0,2046,3523
96,96,0,2047,2761
97,97,0,2047,1858
98,98,0,2047,989
99,99,0,2046,326
100,100,0,2046,0
101,101,0,2047,64
102,102,0,2046,516
103,103,0,2046,1265
104,104,0,2046,2165
105,105,0,2046,3041
106,106,0,2046,3720
107,107,0,2046,4073
108,108,0,2046,4028
109,109,0,2046,3596
110,110,0,2046,2860
111,111,0,2046,1965
112,112,0,2047,1083
113,113,0,2046,388
114,114,0,2047,15
115,115,0,2046,35
116,116,0,2047,446
117,117,0,2047,1167
118,118,0,2046,2059
119,119,0,2046,2945
120,120,0,2046,3656
121,121,0,2046,4051
122,122,0,2046,4054
123,123,0,2046,3664
124,124,0,2047,2957
125,125,0,2046,2071
126,126,0,2046,1179
127,127,0,2047,455
128,128,0,2047,39
129,129,0,2047,11
130,130,0,2047,381
131,131,0,2048,1072
132,132,0,2047,1952
133,133,0,2047,2848
134,134,0,2046,3587
135,135,0,2047,4024
136,136,0,2047,4075
137,137,0,2047,3728
138,138,0,2047,3051
139,139,0,2047,2178
140,140,0,2046,1278
141,141,0,2047,526
142,142,0,2046,67
143,143,0,2046,0
144,144,0,2047,319
145,145,0,2047,978
146,146,0,2047,1845
147,147,0,2047,2748
148,148,0,2046,3514
149,149,0,2046,3992
150,150,0,2047,4089
151,151,0,2047,3787
152,152,0,2047,3143
153,153,0,2046,2284
154,154,0,2046,1378
155,155,0,2046,600
156,156,0,2046,101
157,157,0,2047,0
158,158,0,2047,262
159,159,0,2047,888
160,160,0,2046,1739
161,161,0,2047,2648
162,162,0,2047,3437
163,163,0,2047,3955
164,164,0,2046,4095
165,165,0,2047,3841
166,166,0,2046,3232
167,167,0,2046,2391
168,168,0,2047,1480
169,169,0,2046,679
170,170,0,2047,142
171,171,0,2047,0
172,172,0,2046,210
173,173,0,2047,801
174,174,0,2047,1633
175,175,0,2047,2544
176,176,0,2047,3357
177,177,0,2046,3912
178,178,0,2047,4095
179,179,0,2046,3891
180,180,0,2046,3318
181,181,0,2047,2495
182,182,0,2047,1584
183,183,0,2046,761
184,184,0,2047,187
185,185,0,2046,0
186,186,0,2047,162
187,187,0,2047,717
188,188,0,2047,1529
189,189,0,2047,2440
190,190,0,2047,3273
191,191,0,2047,3866
192,192,0,2047,4095
193,193,0,2047,3936
194,194,0,2046,3400
195,195,0,2046,2599
196,196,0,2046,1689
197,197,0,2046,847
198,198,0,2047,237
199,199,0,2047,0
200,200,0,2047,120
201,201,0,2047,636
202,202,0,2046,1426
203,203,0,2047,2335
204,204,0,2046,3186
205,205,0,2047,3813
206,206,0,2046,4095
207,207,0,2047,3976
208,208,0,2047,3478
209,209,0,2047,2701
210,210,0,2046,1794
211,211,0,2048,935
212,212,0,2046,291
213,213,0,2046,0
214,214,0,2046,83
215,215,0,2046,559
216,216,0,2046,1325
217,217,0,2046,2228
218,218,0,2047,3095
219,219,0,2047,3756
220,220,0,2046,4082
221,221,0,2047,4010
222,222,0,2046,3554
223,223,0,2046,2801
224,224,0,2046,1901
225,225,0,2047,1027
226,226,0,2046,351
227,227,0,2046,3
228,228,0,2047,51
229,229,0,2047,487
230,230,0,2047,1226
231,231,0,2047,2122
232,232,0,2047,3001
233,233,0,2046,3694
234,234,0,2046,4063
235,235,0,2046,4040
236,236,0,2047,3624
237,237,0,2046,2900
238,238,0,2046,2008
239,239,0,2047,1122
240,240,0,2046,414
241,241,0,2047,23
242,242,0,2047,25
243,243,0,2046,419
244,244,0,2047,1128
245,245,0,2047,2015
246,246,0,2046,2906
247,247,0,2047,3628
248,248,0,2046,4040
249,249,0,2047,4063
250,250,0,2046,3691
251,251,0,2047,2996
252,252,0,2047,2115
253,253,0,2047,1219
254,254,0,2047,483
255,255,0,2047,50
256,256,0,2046,4
257,257,0,2046,354
258,258,0,2047,1034
259,259,0,2046,1908
260,260,0,2047,2808
261,261,0,2046,3558
262,262,0,2047,4012
263,263,0,2046,4081
264,264,0,2047,3753
265,265,0,2047,3089
266,266,0,2046,2222
267,267,0,2047,1319
268,268,0,2046,556
269,269,0,2047,81
270,270,0,2046,0
271,271,0,2047,295
272,272,0,2047,942
273,273,0,2046,1802
274,274,0,2046,2707
275,275,0,2047,3483
276,276,0,2046,3977
277,277,0,2047,4094
278,278,0,2047,3809
279,279,0,2046,3180
280,280,0,2047,2328
281,281,0,2047,1419
282,282,0,2046,632
283,283,0,2046,118
284,284,0,2047,0
285,285,0,2047,240
286,286,0,2047,852
287,287,0,2046,1696
288,288,0,2047,2605
289,289,0,2047,3405
290,290,0,2046,3938
291,291,0,2047,4095
292,292,0,2047,3863
293,293,0,2046,3268
294,294,0,2046,2434
295,295,0,2047,1522
296,296,0,2046,712
297,297,0,2047,160
298,298,0,2047,0
