Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,17
1,1,0,2046,103
2,2,0,2047,222
3,3,0,2046,373
4,4,0,2046,552
5,5,0,2046,756
6,6,0,2047,984
7,7,0,2047,1229
8,8,0,2046,1488
9,9,0,2046,1756
10,10,0,2046,2029
11,11,0,2046,2303
12,12,0,2047,2571
13,13,0,2046,2830
14,14,0,2047,3077
15,15,0,2047,3304
16,16,0,2046,3510
17,17,0,2046,3690
18,18,0,2047,3842
19,19,0,2047,3963
20,20,0,2047,4050
21,21,0,2047,4095
22,22,0,2046,4095
23,23,0,2047,4095
24,24,0,2046,4048
25,25,0,2046,3959
26,26,0,2046,3837
27,27,0,2047,3685
28,28,0,2047,3503
29,29,0,2046,3297
30,30,0,2047,3068
31,31,0,2047,2822
32,32,0,2047,2562
33,33,0,2046,2292
34,34,0,2047,2019
35,35,0,2046,1745
36,36,0,2046,1477
37,37,0,2046,1217
38,38,0,2046,973
39,39,0,2046,746
40,40,0,2047,542
41,41,0,2047,364
42,42,0,2047,215
43,43,0,2047,97
44,44,0,2047,13
45,45,0,2046,0
46,46,0,2047,0
47,47,0,2047,0
48,48,0,2047,35
49,49,0,2047,129
50,50,0,2046,256
51,51,0,2046,414
52,52,0,2047,600
53,53,0,2046,811
54,54,0,2047,1043
55,55,0,2047,1291
56,56,0,2046,1552
57,57,0,2047,1823
58,58,0,2046,2096
59,59,0,2046,2369
60,60,0,2046,2636
61,61,0,2047,2892
62,62,0,2047,3134
63,63,0,2047,3356
64,64,0,2046,3556
65,65,0,2047,3729
66,66,0,2046,3875
67,67,0,2047,3988
68,68,0,2046,4067
69,69,0,2047,4095
70,70,0,2047,4095
71,71,0,2047,4092
72,72,0,2046,4029
73,73,0,2046,3933
74,74,0,2046,3803
75,75,0,2047,3642
76,76,0,2046,3455
77,77,0,2046,3242
78,78,0,2047,3009
79,79,0,2046,2760
80,80,0,2046,2496
81,81,0,2046,2225
82,82,0,2046,1952
83,83,0,2046,1679
84,84,0,2046,1412
85,85,0,2046,1156
86,86,0,2046,915
87,87,0,2046,694
88,88,0,2046,496
89,89,0,2046,324
90,90,0,2047,182
91,91,0,2047,73
92,92,0,2047,0
93,93,0,2046,0
94,94,0,2046,0
95,95,0,2046,0
96,96,0,2046,55
97,97,0,2047,157
98,98,0,2047,292
99,99,0,2047,457
100,100,0,2047,649
101,101,0,2046,865
102,102,0,2046,1102
103,103,0,2046,1354
104,104,0,2046,1618
105,105,0,2046,1889
106,106,0,2047,2163
107,107,0,2046,2434
108,108,0,2047,2699
109,109,0,2046,2952
110,110,0,2046,3190
111,111,0,2046,3408
112,112,0,2047,3602
113,113,0,2046,3767
114,114,0,2046,3905
115,115,0,2047,4010
116,116,0,2046,4081
117,117,0,2046,4095
118,118,0,2046,4095
119,119,0,2046,4080
120,120,0,2046,4009
