Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,4095
1,1,0,2046,4095
2,2,0,2047,4027
3,3,0,2047,3821
4,4,0,2046,3517
5,5,0,2047,3129
6,6,0,2046,2680
7,7,0,2046,2195
8,8,0,2046,1703
9,9,0,2047,1227
10,10,0,2046,799
11,11,0,2046,439
12,12,0,2046,168
13,13,0,2046,2
14,14,0,2046,0
15,15,0,2047,15
16,16,0,2046,193
17,17,0,2047,474
18,18,0,2047,842
19,19,0,2047,1277
20,20,0,2046,1755
21,21,0,2047,2249
22,22,0,2047,2730
23,23,0,2047,3174
24,24,0,2047,3555
25,25,0,2047,3850
26,26,0,2046,4043
27,27,0,2047,4095
28,28,0,2046,4090
29,29,0,2046,3940
30,30,0,2047,3683
31,31,0,2046,3336
32,32,0,2046,2915
33,33,0,2047,2445
34,34,0,2047,1953
35,35,0,2046,1466
36,36,0,2046,1010
37,37,0,2046,612
38,38,0,2046,294
39,39,0,2046,73
40,40,0,2046,0
41,41,0,2046,0
42,42,0,2047,88
43,43,0,2046,318
44,44,0,2046,643
45,45,0,2046,1048
46,46,0,2046,1507
47,47,0,2047,1996
48,48,0,2047,2488
49,49,0,2047,2954
50,50,0,2047,3370
51,51,0,2047,3710
52,52,0,2046,3957
53,53,0,2046,4095
54,54,0,2047,4095
55,55,0,2047,4031
56,56,0,2046,3828
57,57,0,2047,3524
58,58,0,2047,3138
59,59,0,2047,2690
60,60,0,2046,2206
61,61,0,2046,1713
62,62,0,2047,1238
63,63,0,2046,808
64,64,0,2047,446
65,65,0,2046,173
66,66,0,2047,5
67,67,0,2047,0
68,68,0,2046,12
69,69,0,2047,187
70,70,0,2046,467
71,71,0,2047,833
72,72,0,2047,1267
73,73,0,2046,1744
74,74,0,2047,2237
75,75,0,2046,2721
76,76,0,2046,3164
77,77,0,2046,3547
78,78,0,2047,3844
79,79,0,2046,4039
80,80,0,2046,4095
81,81,0,2046,4092
82,82,0,2047,3944
83,83,0,2046,3691
84,84,0,2046,3345
85,85,0,2046,2926
86,86,0,2046,2457
87,87,0,2045,1965
88,88,0,2046,1477
89,89,0,2046,1021
90,90,0,2046,621
91,91,0,2047,301
92,92,0,2046,77
93,93,0,2047,0
94,94,0,2047,0
95,95,0,2046,84
96,96,0,2046,311
97,97,0,2047,636
98,98,0,2047,1038
99,99,0,2046,1497
100,100,0,2047,1985
101,101,0,2046,2477
102,102,0,2047,2944
103,103,0,2047,3361
104,104,0,2047,3703
105,105,0,2047,3953
106,106,0,2046,4095
107,107,0,2047,4095
108,108,0,2047,4034
109,109,0,2047,3833
110,110,0,2046,3532
111,111,0,2047,3148
112,112,0,2047,2701
113,113,0,2047,2217
114,114,0,2047,1725
