Sample in Buffer,Sample in Window,TRIGGER,adc2_data_b_d0[11:0],adc2_data_a_d0[11:0]
269,269,0,2433,2049
270,270,0,1813,2049
271,271,0,1212,2049
272,272,0,683,2049
273,273,0,277,2049
274,274,0,25,2049
275,275,0,0,2049
276,276,0,61,2049
277,277,0,346,2049
278,278,0,781,2049
279,279,0,1327,2049
280,280,0,1937,2049
281,281,0,2556,2050
282,282,0,3130,2049
283,283,0,3609,2049
284,284,0,3950,2049
285,285,0,4095,2050
286,286,0,4095,2049
287,287,0,3922,2049
288,288,0,3565,2049
289,289,0,3074,2049
290,290,0,2493,2050
291,291,0,1873,2049
292,292,0,1268,2050
293,293,0,731,2049
294,294,0,309,2050
295,295,0,41,2050
296,296,0,0,2049
297,297,0,42,2049
298,298,0,311,2049
299,299,0,733,2049
300,300,0,1270,2049
301,301,0,1875,2049
302,302,0,2497,2049
303,303,0,3078,2049
304,304,0,3568,2049
305,305,0,3925,2050
306,306,0,4095,2049
307,307,0,4095,2049
308,308,0,3949,2049
309,309,0,3606,2049
310,310,0,3127,2049
311,311,0,2552,2049
312,312,0,1933,2049
313,313,0,1324,2049
314,314,0,778,2050
315,315,0,344,2050
316,316,0,60,2049
317,317,0,0,2049
318,318,0,24,2049
319,319,0,278,2049
320,320,0,686,2049
321,321,0,1214,2049
322,322,0,1816,2050
323,323,0,2438,2049
324,324,0,3024,2049
325,325,0,3525,2050
326,326,0,3896,2049
327,327,0,4095,2049
328,328,0,4095,2049
329,329,0,3973,2050
330,330,0,3646,2049
331,331,0,3178,2049
332,332,0,2611,2049
333,333,0,1993,2049
334,334,0,1381,2049
335,335,0,827,2049
336,336,0,380,2049
337,337,0,80,2049
338,338,0,0,2049
339,339,0,9,2049
340,340,0,246,2049
341,341,0,640,2049
342,342,0,1160,2049
343,343,0,1756,2049
344,344,0,2378,2049
345,345,0,2970,2049
346,346,0,3482,2050
347,347,0,3867,2049
348,348,0,4092,2049
349,349,0,4095,2049
350,350,0,3996,2049
351,351,0,3685,2049
352,352,0,3229,2050
353,353,0,2669,2049
354,354,0,2055,2049
355,355,0,1439,2048
356,356,0,877,2049
357,357,0,418,2049
358,358,0,102,2050
359,359,0,0,2049
360,360,0,0,2049
361,361,0,215,2049
362,362,0,597,2049
363,363,0,1105,2049
364,364,0,1695,2049
365,365,0,2318,2049
366,366,0,2916,2049
367,367,0,3438,2049
368,368,0,3836,2049
369,369,0,4077,2049
370,370,0,4095,2049
371,371,0,4017,2049
372,372,0,3721,2049
373,373,0,3278,2049
374,374,0,2726,2050
375,375,0,2115,2048
376,376,0,1497,2049
377,377,0,928,2049
378,378,0,457,2049
379,379,0,125,2049
380,380,0,0,2049
381,381,0,0,2049
382,382,0,186,2050
383,383,0,554,2049
384,384,0,1051,2049
385,385,0,1635,2049
386,386,0,2258,2050
387,387,0,2860,2050
388,388,0,3391,2049
389,389,0,3804,2049
390,390,0,4062,2049
391,391,0,4095,2049
392,392,0,4037,2049
393,393,0,3758,2049
394,394,0,3327,2049
395,395,0,2784,2049
396,396,0,2176,2049
397,397,0,1556,2049
398,398,0,980,2049
399,399,0,497,2049
400,400,0,151,2049
401,401,0,0,2049
402,402,0,0,2050
403,403,0,159,2049
404,404,0,511,2049
405,405,0,998,2049
406,406,0,1576,2048
407,407,0,2197,2049
408,408,0,2804,2050
409,409,0,3344,2049
410,410,0,3771,2049
411,411,0,4045,2049
412,412,0,4095,2049
413,413,0,4056,2049
414,414,0,3792,2049
415,415,0,3375,2049
416,416,0,2841,2049
417,417,0,2236,2049
418,418,0,1615,2050
419,419,0,1033,2049
420,420,0,539,2049
421,421,0,178,2049
422,422,0,0,2049
423,423,0,0,2049
424,424,0,133,2049
425,425,0,471,2049
426,426,0,946,2049
427,427,0,1518,2049
428,428,0,2136,2049
429,429,0,2747,2049
430,430,0,3296,2050
431,431,0,3735,2049
432,432,0,4025,2049
433,433,0,4095,2049
434,434,0,4072,2049
435,435,0,3824,2049
436,436,0,3420,2049
437,437,0,2896,2049
438,438,0,2296,2049
439,439,0,1675,2049
440,440,0,1086,2049
441,441,0,581,2049
442,442,0,205,2049
443,443,0,0,2048
444,444,0,0,2049
445,445,0,110,2049
446,446,0,432,2049
447,447,0,895,2049
448,448,0,1460,2049
449,449,0,2076,2049
450,450,0,2690,2050
451,451,0,3247,2049
452,452,0,3698,2048
453,453,0,4004,2049
454,454,0,4095,2049
455,455,0,4087,2049
456,456,0,3856,2049
457,457,0,3466,2048
458,458,0,2950,2049
459,459,0,2357,2049
460,460,0,1734,2049
461,461,0,1140,2050
462,462,0,625,2049
463,463,0,235,2049
464,464,0,4,2049
465,465,0,0,2049
466,466,0,87,2049
467,467,0,393,2049
468,468,0,844,2049
469,469,0,1401,2050
470,470,0,2016,2049
471,471,0,2631,2049
472,472,0,3196,2049
473,473,0,3660,2049
474,474,0,3981,2049
475,475,0,4095,2049
476,476,0,4095,2049
477,477,0,3886,2050
