Sample in Buffer,Sample in Window,TRIGGER,adc1_data_a_d0[11:0],adc1_data_b_d0[11:0]
0,0,0,2047,412
1,1,0,2047,1180
2,2,0,2046,2143
3,3,0,2047,3081
4,4,0,2047,3784
5,5,0,2046,4091
6,6,0,2047,3936
7,7,0,2047,3351
8,8,0,2047,2469
9,9,0,2046,1490
10,10,0,2046,635
11,11,0,2046,97
12,12,0,2046,0
13,13,0,2046,360
14,14,0,2045,1102
15,15,0,2046,2054
16,16,0,2046,3004
17,17,0,2046,3735
18,18,0,2046,4083
19,19,0,2047,3969
20,20,0,2046,3418
21,21,0,2046,2555
22,22,0,2046,1575
23,23,0,2046,700
24,24,0,2046,128
25,25,0,2047,0
26,26,0,2046,310
27,27,0,2047,1024
28,28,0,2046,1966
29,29,0,2047,2925
30,30,0,2047,3684
31,31,0,2046,4070
32,32,0,2046,3997
33,33,0,2046,3482
34,34,0,2046,2639
35,35,0,2047,1662
36,36,0,2047,769
37,37,0,2046,163
38,38,0,2046,0
39,39,0,2046,263
40,40,0,2047,947
41,41,0,2046,1878
42,42,0,2046,2845
43,43,0,2046,3628
44,44,0,2046,4054
45,45,0,2047,4023
46,46,0,2047,3543
47,47,0,2046,2723
48,48,0,2046,1748
49,49,0,2046,839
50,50,0,2046,200
51,51,0,2046,0
52,52,0,2046,221
53,53,0,2046,874
54,54,0,2047,1791
55,55,0,2047,2763
56,56,0,2047,3572
57,57,0,2046,4034
58,58,0,2046,4045
59,59,0,2046,3602
60,60,0,2047,2806
61,61,0,2046,1835
62,62,0,2046,912
63,63,0,2047,242
64,64,0,2047,0
65,65,0,2047,181
66,66,0,2046,803
67,67,0,2047,1703
68,68,0,2047,2681
69,69,0,2046,3511
70,70,0,2046,4010
71,71,0,2046,4062
72,72,0,2046,3658
73,73,0,2047,2887
74,74,0,2046,1924
75,75,0,2046,987
76,76,0,2047,287
77,77,0,2047,0
78,78,0,2047,144
79,79,0,2047,733
80,80,0,2046,1617
81,81,0,2046,2596
82,82,0,2047,3448
83,83,0,2046,3982
84,84,0,2047,4078
85,85,0,2047,3711
86,86,0,2047,2966
87,87,0,2046,2012
88,88,0,2046,1063
89,89,0,2047,335
90,90,0,2046,0
91,91,0,2046,112
92,92,0,2046,667
93,93,0,2046,1531
94,94,0,2047,2511
95,95,0,2046,3384
96,96,0,2046,3952
97,97,0,2047,4088
98,98,0,2047,3761
99,99,0,2046,3044
100,100,0,2046,2100
101,101,0,2046,1142
102,102,0,2047,387
103,103,0,2046,4
104,104,0,2047,82
105,105,0,2047,602
106,106,0,2046,1446
107,107,0,2046,2425
108,108,0,2046,3315
109,109,0,2047,3918
110,110,0,2046,4095
111,111,0,2046,3808
112,112,0,2046,3120
113,113,0,2047,2187
114,114,0,2046,1222
115,115,0,2046,440
116,116,0,2046,20
117,117,0,2047,56
118,118,0,2046,540
119,119,0,2046,1363
120,120,0,2046,2338
121,121,0,2046,3245
122,122,0,2047,3880
123,123,0,2046,4095
124,124,0,2046,3851
125,125,0,2047,3194
126,126,0,2046,2275
127,127,0,2046,1303
128,128,0,2047,498
129,129,0,2046,40
130,130,0,2046,34
131,131,0,2046,482
132,132,0,2047,1280
133,133,0,2047,2250
134,134,0,2047,3173
135,135,0,2047,3838
136,136,0,2047,4095
137,137,0,2046,3891
138,138,0,2047,3266
139,139,0,2046,2362
140,140,0,2047,1386
141,141,0,2046,558
142,142,0,2046,64
143,143,0,2047,15
144,144,0,2047,425
145,145,0,2046,1199
146,146,0,2046,2162
147,147,0,2046,3098
148,148,0,2046,3794
149,149,0,2047,4094
150,150,0,2047,3927
151,151,0,2046,3335
152,152,0,2046,2449
153,153,0,2046,1471
154,154,0,2047,620
155,155,0,2046,90
156,156,0,2046,1
157,157,0,2046,371
158,158,0,2046,1120
159,159,0,2047,2074
160,160,0,2047,3021
161,161,0,2046,3746
162,162,0,2045,4085
163,163,0,2046,3961
164,164,0,2046,3402
165,165,0,2046,2535
166,166,0,2047,1556
167,167,0,2045,686
168,168,0,2046,121
169,169,0,2046,0
170,170,0,2046,321
171,171,0,2046,1041
172,172,0,2046,1986
173,173,0,2046,2943
174,174,0,2047,3696
175,175,0,2047,4072
176,176,0,2047,3991
177,177,0,2046,3467
